Time,UUID,RSSI
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20231101 11:14:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-86
20231101 11:14:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
