Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro,Distance
20240115 08:25:22,0.082854,-0.073801,-0.259259,-0.269144,0.029372,0.013403,-35.323269,-29.60146,-2.998856,110.75112,-0.19791065,-0.025551371,-0.020991705,-0.08705467,0.010341832,0.24062504,0.006
20240115 08:25:22,0.065087,-0.110275,-0.142813,-0.190308,-0.014307,0.022992,-36.292904,-29.866398,-2.723267,110.06795,-0.09311718,-0.085425235,-0.0063045714,-0.04471893,-0.027614607,0.17974062,0.006
20240115 08:25:22,0.150706,-0.156835,-0.176841,-0.086969,-0.031353,0.016599,-35.783382,-30.19894,-3.232376,108.053505,-0.09385198,-0.12756105,-0.07126794,-0.010714406,-0.036938727,0.09014347,0.006
20240115 08:25:22,0.248267,-0.075694,-0.406312,0.036611,-0.019634,0.009142,-35.728825,-30.012608,-2.708107,105.93043,-0.2990429,-0.029055554,-0.17807122,0.02196343,-0.019258494,-0.02964418,0.006
20240115 08:25:22,0.368357,-0.010589,-0.753478,0.132493,0.012326,-0.004708,-35.958302,-30.599178,-2.40416,102.95702,-0.62294936,0.04417216,-0.305878,0.030651309,0.0149851525,-0.1304934,0.006
20240115 08:25:22,0.508045,0.147658,-1.093603,0.196414,0.045352,-0.02708,-35.534817,-29.998005,-2.70713,97.242744,-0.94597346,0.15337223,-0.496091,0.019174159,0.04570017,-0.20069605,0.006
20240115 08:25:23,0.608305,0.273381,-1.352434,0.19961,0.057071,-0.063302,-36.154491,-31.363873,-2.75811,96.26367,-1.1975265,0.27940732,-0.6208331,-0.02065342,0.05750069,-0.20560648,0.006
20240115 08:25:23,0.554508,0.444938,-1.473329,0.143146,0.031503,-0.105916,-35.572865,-31.128147,-3.035652,98.57181,-1.36222,0.5453845,-0.58684856,-0.077744395,0.04004029,-0.14339264,0.006
20240115 08:25:23,0.390721,0.639938,-1.494727,0.039807,-0.023895,-0.142137,-35.879421,-30.68597,-2.531685,104.79519,-1.4738872,0.8894617,-0.42953834,-0.1257022,0.0011190511,-0.027418612,0.006
20240115 08:25:23,0.173916,0.762443,-1.393893,-0.086969,-0.113385,-0.168771,-35.587841,-30.9519,-2.109512,111.68081,-1.4765208,1.1102864,-0.21065658,-0.14742184,-0.06979737,0.120223396,0.006
20240115 08:25:23,-0.102698,0.895838,-1.201545,-0.211615,-0.202874,-0.173033,-36.040524,-30.686802,-3.471031,115.38911,-1.4253206,1.2443471,0.030341163,-0.13685295,-0.14747024,0.2664259,0.006
20240115 08:25:23,-0.352349,0.93906,-0.921093,-0.305365,-0.279579,-0.159183,-35.959064,-30.215397,-2.965111,119.771576,-1.2702694,1.1769705,0.24112485,-0.115859024,-0.22816244,0.381684,0.006
20240115 08:25:23,-0.586078,0.965859,-0.619844,-0.352241,-0.341369,-0.121896,-35.457737,-31.026752,-2.907158,121.91164,-1.0960424,1.0502083,0.4093014,-0.07803229,-0.3069402,0.44303676,0.006
20240115 08:25:23,-0.686974,0.945786,-0.381606,-0.35011,-0.371199,-0.064367,-35.782612,-30.582722,-2.671432,121.52795,-0.90531737,0.9257159,0.46006233,-0.027036507,-0.36042047,0.44279474,0.006
20240115 08:25:23,-0.586769,0.946681,-0.278206,-0.311757,-0.353088,0.001685,-35.730625,-30.954578,-2.780617,117.85912,-0.72640383,0.9202719,0.32684463,0.00797362,-0.36725482,0.39565063,0.006
20240115 08:25:23,-0.27769,0.822986,-0.165922,-0.259555,-0.308343,0.040037,-35.827816,-30.865925,-2.921341,112.82833,-0.41585016,0.8169892,0.0322764,0.015088409,-0.3280268,0.33384964,0.006
20240115 08:25:23,0.070556,0.671155,-0.021996,-0.215876,-0.268925,0.036841,-35.711926,-31.148312,-2.231895,110.383865,-0.08081539,0.6711099,-0.28199723,-0.006729983,-0.28123903,0.28553087,0.006
20240115 08:25:23,0.213952,0.549966,0.09804,-0.191373,-0.231638,0.004881,-36.039371,-31.26247,-2.629616,109.19818,0.11108519,0.5449799,-0.3985329,-0.040516578,-0.23837784,0.25682116,0.006
20240115 08:25:23,0.188913,0.626922,0.37581,-0.179654,-0.216723,-0.02708,-36.470783,-30.632938,-2.808975,109.96316,0.3518349,0.5918947,-0.45535955,-0.07253295,-0.22050776,0.2488113,0.006
