Time,UUID,RSSI
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-49
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74
20220321 01:24:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-49
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75
20220321 01:24:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-49
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75
20220321 01:24:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75
20220321 01:24:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78
20220321 01:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-72
20220321 01:24:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 01:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
